,total_points
opponent_team,0.17175736261288807
team,-0.1762197084213558
total_points,1.0
total_points 5 Week MA,0.14084237586348383
total_points 1 Week MA,0.06884514752012305
total_points 10 Week MA,0.15924200952426043
ict_index 5 Week MA,0.15531843903301218
ict_index 1 Week MA,0.10759864436966765
ict_index 10 Week MA,0.16505189719644558
bps 5 Week MA,0.08450356542148638
bps 1 Week MA,0.045429332820442724
bps 10 Week MA,0.09341388545427635
threat 5 Week MA,0.15952914596973483
threat 1 Week MA,0.11745917358486897
threat 10 Week MA,0.16711206472012533
influence 5 Week MA,0.08352674293866998
influence 1 Week MA,0.0403111018082119
influence 10 Week MA,0.09844503519360677
creativity 5 Week MA,0.1037732574670038
creativity 1 Week MA,0.07808692707452354
creativity 10 Week MA,0.10735744884103858
