,season,Player,price_range,position,start_cost,team,goals_scored,assists,points_per_90minutes,total_points
1,2017/18,Mohamed Salah,Premium,MID,9.0,Liverpool,32,12,9.387263339070568,303
2,2018/19,Mohamed Salah,Premium,MID,13.0,Liverpool,22,12,7.163491087891826,259
3,2019/20,Kevin De Bruyne,Premium,MID,9.5,Man City,13,23,8.096774193548388,251
4,2015/16,Riyad Mahrez,Mid Range,MID,5.5,Leicester,17,11,7.1146245059288535,240
5,2018/19,Raheem Sterling,Premium,MID,11.0,Man City,17,15,7.602888086642599,234
6,2019/20,Mohamed Salah,Premium,MID,12.5,Liverpool,19,10,7.283779089961793,233
7,2018/19,Sadio Man̩,Premium,MID,9.5,Liverpool,22,3,6.758777633289987,231
8,2017/18,Raheem Sterling,Premium,MID,8.0,Man City,18,17,7.976006191950464,229
9,2016/17,Bamidele Alli,Premium,MID,8.5,Spurs,18,11,6.669960474308301,225
10,2016/17,Harry Kane,Premium,FWD,11.0,Spurs,29,7,7.990487514863258,224
